This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \_____________  \
8dd6e9c5cff551df9b4dd0d28c24487683a819348edadf38d08bd9bd94debcb2 119 8 7337 131
94e57395c5334c7135c24693fab11cc0aacba41605996bd21b4b4a287d6e886f 20 18 439 77
026d0e6f7488a97664bbf83cd989e099fc0b9993f59258536375e6b2699e4d46 15 15 34384 28237
89448bc46864e33ab66c767afe8c428d03c27f33a9735df8628091e7bda29563 1 0 0 0
cf460c1d6024d3d0cf94afbeead86d2361483e27393e85a8bd914a4d11160bf7 2 2 25 2
e2f505278c8dd673bebb61e779f69a78581c0b89c69e64520883304dc7c333a8 33 33 4416 3686
d5c58ac95f93b5efc1e9fd95d2e385c2c22e3b94aa0fb2a98906555babd76b6e 229 20 2883 501
20b4cc94f42bda02990bf83ed4a6eb691542e1340850e37bc5e58af315066275 64 0 0 0
e612e28de1cf44a7c80baf31bc16a04b331eda051951a40d00c5dc56a7d8fad2 154 153 23530 14568
47ce15bd1bc14749b9cdd718f621a8a68f550251face39bc72399873f163bb90 162 7 85 38
54d594b21759ed38b965eeca44c372c8d3d6b9f373c458ee3507562e1bbb7cd7 1870 1 1 1
bd6af1760c29952940a4fb788aa8195bd5c9aa1e28ca0ee8eb0cdc5c1243a127 31 30 2996 1176
13916dccf7ba7f5573598c02b6452abeda039a598102110a92fab8792157dfd2 31 30 2996 1176
a098189b971003fdf489f49fd6a56c74025eb7431f7c34da3dc7e4d6361aad72 360 181 11662 15283
155f603c95e6e8cb92005d0fbf6c75c9b4f3f1314aec9d58e29ed06a2da5cdbf 1319 59 55186 90196
5f2cf48541c50b001de91a8b4615eba2e4367516372dd91fbda6d47d3a04564d 1498 25 4111 3963
43cb2e8159c7a4c7a1296065d790a609f0feb6ce53130466638c20883a794cc8 2 2 13 1
4597950d03374cb0e90e49d7803613f4eb0881aafc28069fc63c10a18a77b140 36 0 0 0
1c17c7d13987f0a31906292818b342195477cb1c2fe6084ea044599d412047ae 111 111 33581 9769
61b2a87ad3bb2fcbf74345d5dd18078079d0167c4f0b3826c0d7ed8868668914 9 0 0 0
6274aa1c2770a8eb91db2be74f5a385839264c229140a66dbeb4c92521f505fc 1 1 16409 0
d69c6e6db8c278a28bd00734d9c202a7bbfb272a927044aa3c55e3fb40b14c8b 3 3 2387 826
